res, i, j
208, 55, 50
209, 129, 36
210, 78, 70
211, 70, 66
212, 71, 31
213, 82, 40
214, 68, 105
215, 29, 34
216, 47, 82
217, 63, 63
218, 104, 64
219, 21, 66
220, 61, 102
221, 73, 76
222, 33, 40
223, 54, 99
224, 128, 48
225, 74, 77
226, 12, 102
227, 59, 34
228, 98, 25
229, 36, 50
230, 88, 97
231, 59, 70
232, 46, 100
233, 6, 27
234, 92, 67
235, 104, 41
236, 91, 22
237, 29, 47
238, 92, 103
239, 93, 31
240, 112, 81
241, 117, 16
242, 54, 76
243, 73, 89
244, 98, 2
245, 87, 109
246, 67, 51
247, 45, 112
248, 16, 85
249, 110, 12
250, 82, 30
251, 80, 69
252, 92, 80
253, 52, 7
254, 57, 122
255, 123, 67
256, 73, 66
257, 33, 30
258, 13, 90
259, 84, 81
260, 54, 89
261, 107, 64
262, 12, 92
263, 64, 102
264, 70, 33
265, 82, 7
266, 55, 53
267, 36, 40
268, 99, 96
269, 119, 74
270, 58, 64
271, 49, 95
272, 80, 82
273, 81, 47
274, 93, 21
275, 29, 122
276, 54, 66
277, 94, 102
278, 66, 40
279, 52, 105
280, 84, 94
281, 59, 37
282, 118, 86
283, 16, 75
284, 63, 7
285, 9, 36
286, 82, 20
287, 69, 50
288, 21, 10
289, 115, 17
290, 90, 109
291, 62, 47
292, 93, 34
293, 95, 80
294, 55, 7
295, 60, 122
296, 53, 83
297, 99, 50
298, 78, 27
299, 126, 67
300, 13, 47
301, 76, 66
302, 80, 36
303, 78, 112
304, 15, 92
305, 101, 95
306, 93, 11
307, 85, 7
308, 125, 80
309, 63, 105
310, 110, 100
311, 102, 96
312, 29, 112
313, 87, 53
314, 43, 46
315, 117, 81
316, 108, 112
317, 99, 63
318, 100, 28
319, 64, 105
320, 57, 66
321, 97, 102
322, 115, 7
323, 61, 36
324, 6, 20
325, 30, 48
326, 82, 95
327, 20, 40
328, 12, 36
329, 93, 24
330, 71, 122
331, 87, 66
332, 52, 108
333, 93, 109
334, 46, 34
335, 17, 7
336, 76, 56
337, 86, 106
338, 78, 102
339, 38, 66
340, 98, 80
341, 49, 75
342, 50, 40
343, 115, 20
344, 81, 27
345, 125, 70
346, 90, 112
347, 82, 108
348, 41, 76
349, 87, 43
350, 53, 50
351, 105, 97
352, 66, 105
353, 99, 53
354, 35, 117
355, 59, 102
356, 79, 80
357, 17, 105
358, 63, 72
359, 110, 67
360, 60, 66
361, 72, 40
362, 63, 108
363, 64, 36
364, 84, 51
365, 87, 56
366, 74, 86
367, 105, 110
368, 109, 80
369, 15, 36
370, 13, 112
371, 78, 92
372, 90, 66
373, 110, 44
374, 47, 104
375, 19, 42
376, 92, 112
377, 125, 60
378, 17, 118
379, 103, 41
380, 87, 33
381, 52, 75
382, 53, 40
383, 45, 36
384, 68, 19
385, 120, 66
386, 93, 112
387, 66, 95
388, 86, 73
389, 98, 47
390, 55, 85
391, 121, 67
392, 71, 66
393, 111, 102
394, 63, 62
395, 102, 53
396, 75, 36
397, 122, 31
398, 80, 114
399, 33, 39
400, 106, 23
401, 54, 98
402, 87, 46
403, 34, 40
404, 74, 76
405, 86, 50
406, 117, 74
407, 55, 62
408, 120, 79
409, 70, 78
410, 55, 98
411, 110, 34
412, 29, 46
413, 92, 102
414, 112, 80
415, 76, 13
416, 22, 42
417, 74, 89
418, 120, 56
419, 59, 46
420, 51, 105
421, 43, 101
422, 98, 37
423, 82, 29
424, 48, 36
425, 46, 112
426, 28, 94
427, 103, 8
428, 124, 67
429, 54, 88
430, 73, 101
431, 74, 66
432, 78, 36
433, 13, 92
434, 59, 59
435, 24, 101
436, 65, 102
437, 110, 24
438, 83, 7
439, 82, 42
440, 52, 19
441, 112, 70
442, 33, 42
443, 73, 78
444, 74, 43
445, 56, 25
446, 54, 101
447, 89, 22
448, 67, 40
449, 53, 105
450, 55, 65
451, 47, 61
452, 82, 19
453, 99, 108
454, 46, 102
455, 80, 94
456, 33, 19
457, 85, 29
458, 42, 104
459, 117, 18
460, 22, 9
461, 14, 5
462, 74, 56
463, 55, 42
464, 107, 89
465, 13, 82
466, 99, 85
467, 46, 79
468, 79, 27
469, 63, 19
470, 77, 66
471, 82, 32
472, 49, 84
473, 80, 71
474, 13, 81
475, 85, 42
476, 86, 7
477, 31, 71
478, 32, 36
479, 78, 3
480, 97, 16
481, 55, 19
482, 107, 66
483, 72, 108
484, 101, 22
485, 40, 12
486, 99, 98
487, 92, 59
488, 65, 105
489, 58, 66
490, 49, 97
491, 62, 36
492, 25, 5
493, 110, 112
494, 122, 86
495, 74, 46
496, 107, 43
497, 67, 7
498, 105, 119
499, 89, 25
500, 96, 70
501, 115, 19
502, 80, 61
503, 38, 101
504, 110, 89
505, 66, 19
506, 93, 36
507, 97, 6
508, 13, 49
509, 99, 52
510, 46, 46
511, 76, 68
512, 46, 82
513, 78, 114
514, 104, 23
515, 49, 87
516, 110, 66
517, 15, 94
518, 19, 64
519, 93, 13
520, 125, 82
521, 82, 120
522, 110, 102
523, 96, 24
524, 87, 55
525, 107, 33
526, 65, 36
527, 28, 5
528, 100, 30
529, 46, 59
530, 98, 69
531, 49, 64
532, 29, 6
533, 115, 9
534, 80, 51
535, 19, 41
536, 42, 61
537, 101, 110
538, 95, 36
539, 85, 22
540, 31, 51
541, 41, 101
542, 99, 42
543, 111, 16
544, 76, 58
545, 9, 5
546, 86, 108
547, 78, 104
548, 98, 82
549, 115, 22
550, 54, 12
551, 122, 30
552, 93, 3
553, 20, 19
554, 41, 78
555, 87, 45
556, 126, 36
557, 13, 16
558, 44, 83
559, 64, 61
560, 68, 31
561, 120, 78
562, 85, 120
563, 86, 85
564, 78, 81
565, 50, 19
566, 77, 36
567, 110, 33
568, 55, 97
569, 101, 64
570, 78, 117
571, 30, 40
572, 17, 107
573, 94, 61
574, 54, 25
575, 87, 22
576, 52, 64
577, 84, 53
578, 87, 58
579, 99, 32
580, 86, 62
581, 56, 70
582, 27, 12
583, 78, 94
584, 63, 51
585, 82, 64
586, 83, 29
587, 103, 7
588, 19, 44
589, 72, 19
590, 87, 35
591, 73, 100
592, 52, 77
593, 105, 89
594, 76, 25
595, 117, 63
596, 74, 101
597, 121, 33
598, 85, 110
599, 32, 104
600, 38, 35
601, 51, 117
602, 59, 58
603, 70, 67
604, 46, 39
605, 89, 80
606, 98, 49
607, 110, 23
608, 82, 77
609, 83, 42
610, 84, 7
611, 102, 55
612, 103, 20
613, 95, 16
614, 80, 116
615, 87, 12
616, 53, 19
617, 105, 66
618, 115, 110
619, 54, 100
620, 128, 49
621, 12, 103
622, 57, 25
623, 110, 36
624, 75, 51
625, 87, 25
626, 74, 55
627, 128, 62
628, 15, 5
629, 74, 91
630, 120, 58
631, 67, 52
632, 59, 48
633, 32, 94
634, 89, 70
635, 13, 79
636, 110, 13
637, 101, 44
638, 88, 111
639, 48, 38
640, 60, 12
641, 119, 98
642, 92, 81
643, 103, 10
644, 44, 40
645, 103, 95
646, 73, 103
647, 74, 68
648, 108, 61
649, 120, 35
650, 85, 77
651, 79, 3
652, 98, 16
653, 70, 34
654, 90, 12
655, 46, 91
656, 70, 70
657, 37, 122
658, 16, 99
659, 82, 44
660, 60, 25
661, 92, 94
662, 52, 21
663, 25, 40
664, 74, 45
665, 37, 14
666, 84, 95
667, 66, 77
668, 13, 71
669, 99, 74
670, 71, 12
671, 70, 47
672, 16, 76
673, 90, 25
674, 82, 21
675, 88, 101
676, 99, 110
677, 46, 104
678, 119, 88
679, 93, 35
680, 30, 95
681, 14, 7
682, 74, 58
683, 67, 19
684, 13, 48
685, 23, 92
686, 97, 41
687, 35, 66
688, 47, 40
689, 46, 81
690, 92, 48
691, 71, 25
692, 91, 3
693, 119, 65
694, 81, 38
695, 93, 12
696, 44, 7
697, 125, 81
698, 105, 23
699, 91, 88
700, 115, 67
701, 108, 28
702, 62, 61
703, 73, 70
704, 66, 31
705, 31, 73
706, 97, 18
707, 83, 120
708, 55, 21
709, 99, 64
710, 70, 37
711, 56, 102
712, 76, 80
713, 28, 40
714, 88, 91
715, 80, 50
716, 46, 94
717, 49, 99
718, 80, 86
719, 74, 12
720, 93, 25
721, 25, 7
722, 54, 70
723, 96, 36
724, 66, 44
725, 86, 22
726, 64, 83
727, 24, 47
728, 84, 98
729, 86, 107
730, 112, 16
731, 22, 122
732, 49, 76
733, 29, 18
734, 115, 21
735, 61, 50
736, 21, 14
737, 81, 28
738, 19, 53
739, 50, 77
740, 82, 109
741, 62, 51
742, 87, 80
743, 107, 58
744, 72, 100
745, 45, 83
746, 118, 67
747, 46, 48
748, 76, 70
749, 68, 66
750, 46, 84
751, 92, 51
752, 125, 48
753, 49, 89
754, 102, 64
755, 113, 110
756, 18, 101
757, 93, 15
758, 125, 84
759, 31, 40
760, 115, 119
761, 53, 64
762, 99, 31
763, 72, 77
764, 28, 7
765, 100, 32
766, 46, 61
767, 78, 93
768, 98, 71
769, 47, 105
770, 39, 21
771, 90, 103
772, 87, 34
773, 13, 5
774, 84, 65
775, 64, 50
776, 54, 122
777, 53, 77
778, 107, 48
779, 85, 109
780, 58, 12
781, 76, 60
782, 77, 25
783, 43, 112
784, 86, 110
785, 42, 40
786, 103, 19
787, 122, 32
788, 73, 27
789, 72, 31
790, 84, 42
791, 87, 47
792, 45, 50
793, 105, 101
794, 22, 66
795, 120, 80
796, 26, 36
797, 70, 79
798, 50, 21
799, 115, 1
800, 71, 80
801, 36, 122
802, 102, 67
803, 52, 66
804, 53, 31
805, 56, 36
806, 74, 90
807, 99, 34
808, 66, 122
809, 27, 14
810, 59, 83
811, 30, 19
812, 82, 66
813, 83, 31
814, 75, 27
815, 103, 9
816, 60, 47
817, 112, 94
818, 73, 102
819, 74, 67
820, 93, 80
821, 44, 75
822, 45, 40
823, 37, 36
824, 74, 103
825, 120, 70
826, 59, 60
827, 86, 77
828, 70, 69
829, 16, 98
830, 42, 7
831, 48, 50
832, 38, 122
833, 63, 66
834, 71, 70
835, 103, 22
836, 61, 105
837, 80, 118
838, 53, 21
839, 37, 13
840, 54, 102
841, 74, 80
842, 13, 70
843, 78, 50
844, 55, 66
845, 67, 77
846, 99, 109
847, 63, 43
848, 104, 80
849, 10, 36
850, 34, 21
851, 120, 24
852, 85, 66
853, 89, 36
854, 55, 43
855, 120, 60
856, 20, 122
857, 87, 112
858, 67, 54
859, 13, 83
860, 59, 50
861, 70, 59
862, 24, 92
863, 16, 88
864, 35, 101
865, 82, 33
866, 29, 27
867, 48, 40
868, 40, 36
869, 38, 112
870, 33, 33
871, 45, 7
872, 31, 72
873, 22, 23
874, 128, 41
875, 67, 31
876, 12, 95
877, 70, 36
878, 101, 23
879, 59, 63
880, 92, 60
881, 57, 102
882, 77, 80
883, 92, 96
884, 112, 74
885, 104, 70
886, 91, 100
887, 61, 108
888, 73, 82
889, 43, 59
890, 84, 97
891, 103, 110
892, 107, 80
893, 13, 73
894, 65, 83
895, 16, 78
896, 29, 17
897, 28, 52
898, 6, 33
899, 33, 23
900, 93, 37
901, 31, 62
902, 83, 109
903, 22, 13
904, 54, 82
905, 74, 60
906, 24, 59
907, 84, 110
908, 88, 80
909, 48, 7
910, 46, 83
911, 92, 50
912, 69, 66
913, 29, 30
914, 26, 104
915, 19, 65
916, 93, 14
917, 10, 16
918, 60, 102
919, 52, 98
920, 13, 27
921, 32, 40
922, 78, 7
923, 59, 30
924, 99, 66
925, 64, 108
926, 100, 31
927, 16, 68
928, 80, 52
929, 92, 63
930, 112, 41
931, 58, 70
932, 50, 66
933, 90, 102
934, 110, 80
935, 62, 40
936, 48, 105
937, 54, 36
938, 25, 9
939, 91, 103
940, 23, 48
941, 13, 40
942, 25, 94
943, 59, 7
944, 99, 43
945, 76, 59
946, 28, 19
947, 86, 109
948, 37, 104
949, 98, 83
950, 81, 30
951, 93, 4
952, 91, 80
953, 51, 7
954, 122, 67
955, 41, 79
956, 52, 88
957, 31, 65
958, 43, 39
959, 35, 35
960, 76, 72
961, 22, 101
962, 81, 7
963, 59, 105
964, 125, 50
965, 102, 66
966, 32, 7
967, 104, 112
968, 14, 14
969, 87, 59
970, 60, 105
971, 52, 101
972, 53, 66
973, 57, 36
974, 117, 87
975, 28, 9
976, 80, 19
977, 100, 34
978, 26, 48
979, 86, 99
980, 78, 95
981, 115, 13
982, 110, 47
983, 62, 7
984, 8, 36
985, 81, 20
986, 113, 89
987, 19, 45
988, 125, 63
989, 31, 19
990, 17, 121
991, 91, 70
992, 83, 66
993, 84, 31
994, 87, 36
995, 34, 66
996, 99, 46
997, 86, 76
998, 46, 40
999, 38, 36
1000, 98, 50
1001, 67, 99
1002, 113, 66
1003, 78, 108
1004, 63, 65
1005, 103, 21
1006, 75, 75
1007, 115, 111
1008, 62, 105
1009, 41, 82
1010, 87, 49
1011, 128, 50
1012, 86, 89
1013, 78, 85
1014, 110, 37
1015, 55, 101
1016, 47, 97
1017, 59, 108
1018, 60, 36
1019, 31, 9
1020, 61, 117
1021, 65, 7
1022, 68, 12
1023, 128, 63
1024, 74, 92
1025, 86, 66
1026, 51, 108
1027, 98, 40
1028, 90, 36
1029, 70, 58
1030, 67, 89
1031, 78, 98
1032, 63, 55
1033, 110, 50
1034, 103, 11
1035, 122, 24
1036, 95, 7
1037, 41, 36
1038, 87, 3
1039, 106, 16
1040, 33, 32
1041, 42, 117
1042, 62, 95
1043, 54, 91
1044, 128, 40
1045, 68, 25
1046, 113, 33
1047, 86, 79
1048, 59, 62
1049, 78, 75
1050, 24, 104
1051, 70, 71
1052, 71, 36
1053, 16, 100
1054, 98, 53
1055, 43, 117
1056, 92, 95
1057, 17, 101
1058, 80, 120
1059, 87, 16
1060, 33, 45
1061, 45, 19
1062, 74, 82
1063, 120, 49
1064, 12, 107
1065, 13, 72
1066, 98, 30
1067, 89, 61
1068, 16, 77
1069, 49, 25
1070, 82, 22
1071, 46, 105
1072, 63, 45
1073, 29, 52
1074, 100, 112
1075, 33, 22
1076, 18, 122
1077, 22, 12
1078, 54, 81
1079, 73, 94
1080, 74, 59
1081, 120, 26
1082, 90, 3
1083, 55, 45
1084, 113, 23
1085, 13, 85
1086, 119, 66
1087, 24, 94
1088, 70, 61
1089, 16, 90
1090, 45, 117
1091, 82, 35
1092, 47, 77
1093, 100, 89
1094, 52, 12
1095, 80, 110
1096, 74, 36
1097, 97, 19
1098, 43, 48
1099, 54, 94
1100, 74, 72
1101, 12, 97
1102, 59, 29
1103, 79, 7
1104, 70, 38
1105, 90, 16
1106, 76, 81
1107, 55, 58
1108, 78, 83
1109, 88, 92
1110, 48, 19
1111, 99, 101
1112, 46, 95
1113, 65, 108
1114, 49, 100
1115, 29, 42
1116, 18, 112
1117, 52, 25
1118, 93, 26
1119, 91, 102
1120, 54, 71
1121, 73, 84
1122, 78, 19
1123, 103, 112
1124, 101, 2
1125, 13, 75
1126, 59, 42
1127, 99, 78
1128, 16, 96
1129, 79, 20
1130, 70, 51
1131, 63, 12
1132, 82, 25
1133, 80, 64
1134, 6, 35
1135, 38, 104
1136, 108, 19
1137, 97, 9
1138, 43, 38
1139, 103, 89
1140, 55, 12
1141, 99, 55
1142, 70, 28
1143, 59, 19
1144, 76, 71
1145, 99, 91
1146, 46, 85
1147, 80, 77
1148, 81, 42
1149, 93, 16
1150, 85, 12
1151, 13, 64
1152, 105, 112
1153, 97, 22
1154, 55, 25
1155, 53, 101
1156, 100, 33
1157, 92, 29
1158, 29, 9
1159, 115, 12
1160, 21, 5
1161, 80, 54
1162, 125, 62
1163, 61, 77
1164, 102, 78
1165, 93, 29
1166, 85, 25
1167, 84, 66
1168, 99, 45
1169, 13, 42
1170, 56, 83
1171, 109, 95
1172, 80, 31
1173, 46, 75
1174, 92, 42
1175, 110, 59
1176, 62, 19
1177, 81, 32
1178, 93, 6
1179, 30, 66
1180, 41, 81
1181, 87, 48
1182, 86, 3
1183, 105, 102
1184, 99, 58
1185, 68, 70
1186, 80, 44
1187, 39, 12
1188, 94, 64
1189, 32, 9
1190, 23, 40
1191, 24, 5
1192, 84, 56
1193, 87, 61
1194, 64, 77
1195, 76, 51
1196, 28, 11
1197, 86, 101
1198, 92, 32
1199, 78, 97
1200, 97, 110
1201, 49, 70
1202, 115, 15
1203, 101, 80
1204, 19, 47
1205, 125, 65
1206, 82, 103
1207, 96, 7
1208, 41, 71
1209, 87, 38
1210, 88, 3
1211, 99, 12
1212, 56, 50
1213, 117, 66
1214, 74, 104
1215, 25, 99
1216, 46, 42
1217, 86, 78
1218, 35, 112
1219, 110, 26
1220, 125, 42
1221, 63, 67
1222, 110, 62
1223, 103, 23
1224, 80, 119
1225, 60, 61
1226, 105, 69
1227, 75, 77
1228, 96, 20
1229, 87, 51
1230, 128, 52
1231, 88, 16
1232, 120, 48
1233, 81, 120
1234, 74, 81
1235, 37, 50
1236, 108, 110
1237, 26, 40
1238, 97, 100
1239, 50, 25
1240, 110, 39
1241, 42, 21
1242, 83, 22
1243, 94, 31
1244, 17, 113
1245, 72, 12
1246, 87, 28
1247, 73, 93
1248, 52, 70
1249, 99, 2
1250, 117, 56
1251, 22, 47
1252, 128, 65
1253, 74, 94
1254, 120, 61
1255, 85, 103
1256, 13, 84
1257, 82, 34
1258, 55, 80
1259, 88, 114
1260, 119, 101
1261, 71, 61
1262, 102, 48
1263, 103, 13
1264, 122, 26
1265, 75, 31
1266, 48, 77
1267, 60, 51
1268, 33, 34
1269, 112, 98
1270, 108, 64
1271, 74, 71
1272, 12, 96
1273, 85, 80
1274, 37, 40
1275, 59, 64
1276, 119, 78
1277, 70, 73
1278, 110, 29
1279, 83, 12
1280, 55, 93
1281, 29, 41
1282, 40, 50
1283, 115, 80
1284, 95, 22
1285, 33, 47
1286, 53, 25
1287, 74, 48
1288, 45, 21
1289, 37, 17
1290, 74, 84
1291, 121, 16
1292, 86, 58
1293, 31, 122
1294, 13, 74
1295, 70, 50
1296, 16, 79
1297, 55, 70
1298, 82, 24
1299, 102, 2
1300, 47, 66
1301, 48, 31
1302, 88, 104
1303, 83, 25
1304, 103, 3
1305, 80, 99
1306, 92, 110
1307, 93, 38
1308, 56, 7
1309, 61, 122
1310, 54, 83
1311, 74, 61
1312, 70, 27
1313, 55, 47
1314, 88, 81
1315, 13, 87
1316, 16, 92
1317, 90, 41
1318, 82, 37
1319, 68, 102
1320, 28, 66
1321, 40, 40
1322, 104, 61
1323, 31, 76
1324, 84, 88
1325, 22, 27
1326, 12, 99
1327, 99, 67
1328, 118, 80
1329, 70, 40
1330, 56, 105
1331, 76, 83
1332, 22, 112
1333, 29, 8
1334, 88, 94
1335, 48, 21
1336, 46, 97
1337, 119, 81
1338, 6, 24
1339, 49, 102
1340, 21, 40
1341, 80, 89
1342, 93, 28
1343, 31, 53
1344, 63, 122
1345, 62, 77
1346, 66, 47
1347, 67, 12
1348, 86, 25
1349, 84, 101
1350, 95, 110
1351, 99, 80
1352, 64, 122
1353, 49, 79
1354, 80, 66
1355, 125, 74
1356, 105, 16
1357, 31, 66
1358, 43, 40
1359, 67, 25
1360, 70, 30
1361, 76, 73
1362, 88, 84
1363, 40, 7
1364, 45, 122
1365, 46, 87
1366, 69, 70
1367, 62, 31
1368, 84, 55
1369, 87, 60
1370, 72, 80
1371, 24, 40
1372, 117, 88
1373, 100, 35
1374, 37, 95
1375, 46, 64
1376, 97, 109
1377, 115, 14
1378, 29, 11
1379, 21, 7
1380, 19, 46
1381, 125, 64
1382, 17, 122
1383, 82, 102
1384, 102, 80
1385, 62, 44
1386, 54, 40
1387, 85, 27
1388, 83, 103
1389, 25, 98
1390, 17, 14
1391, 76, 63
1392, 22, 92
1393, 113, 67
1394, 46, 77
1395, 98, 87
1396, 70, 105
1397, 49, 82
1398, 81, 34
1399, 18, 94
1400, 63, 102
1401, 83, 80
1402, 115, 112
1403, 96, 19
1404, 41, 83
1405, 87, 50
1406, 64, 66
1407, 117, 78
1408, 68, 36
1409, 99, 60
1410, 86, 90
1411, 38, 50
1412, 89, 95
1413, 49, 59
1414, 55, 102
1415, 27, 40
1416, 113, 80
1417, 78, 122
1418, 90, 96
1419, 84, 22
1420, 87, 27
1421, 84, 58
1422, 87, 63
1423, 128, 64
1424, 33, 92
1425, 74, 93
1426, 53, 70
1427, 44, 101
1428, 45, 66
1429, 100, 2
1430, 85, 102
1431, 76, 53
1432, 49, 36
1433, 26, 52
1434, 97, 112
1435, 110, 51
1436, 103, 12
1437, 54, 7
1438, 60, 50
1439, 75, 66
1440, 96, 9
1441, 81, 109
1442, 87, 40
1443, 73, 105
1444, 109, 64
1445, 51, 122
1446, 38, 40
1447, 79, 77
1448, 84, 12
1449, 41, 50
1450, 33, 46
1451, 112, 110
1452, 45, 20
1453, 105, 71
1454, 96, 22
1455, 54, 105
1456, 120, 50
1457, 20, 112
1458, 37, 52
1459, 120, 86
1460, 86, 93
1461, 99, 112
1462, 78, 89
1463, 71, 50
1464, 110, 41
1465, 55, 105
1466, 47, 101
1467, 103, 2
1468, 60, 40
1469, 92, 109
1470, 52, 36
1471, 84, 25
1472, 87, 30
1473, 57, 7
1474, 117, 58
1475, 76, 20
1476, 62, 122
1477, 74, 96
1478, 120, 63
1479, 59, 53
1480, 78, 66
1481, 79, 31
1482, 70, 62
1483, 71, 27
1484, 82, 36
1485, 119, 103
1486, 112, 64
1487, 28, 101
1488, 29, 66
1489, 103, 15
1490, 41, 40
1491, 87, 7
1492, 72, 27
1493, 128, 44
1494, 74, 73
1495, 120, 40
1496, 12, 98
1497, 86, 47
1498, 70, 39
1499, 89, 52
1500, 121, 41
1501, 34, 122
1502, 59, 66
1503, 119, 80
1504, 70, 75
1505, 57, 105
1506, 111, 112
1507, 123, 86
1508, 73, 85
1509, 45, 23
1510, 89, 29
1511, 54, 108
1512, 55, 36
1513, 67, 47
1514, 13, 76
1515, 59, 43
1516, 26, 9
1517, 70, 52
1518, 16, 81
1519, 35, 94
1520, 82, 26
1521, 29, 20
1522, 55, 72
1523, 100, 80
1524, 60, 7
1525, 111, 89
1526, 83, 27
1527, 80, 101
1528, 93, 40
1529, 85, 36
1530, 74, 63
1531, 13, 53
1532, 32, 66
1533, 72, 102
1534, 89, 42
1535, 90, 7
1536, 36, 36
1537, 82, 3
1538, 101, 16
1539, 13, 89
1540, 119, 70
1541, 92, 53
1542, 49, 91
1543, 81, 43
1544, 113, 112
1545, 46, 122
1546, 124, 41
1547, 69, 105
1548, 108, 33
1549, 74, 40
1550, 97, 23
1551, 114, 112
1552, 70, 42
1553, 82, 16
1554, 77, 50
1555, 29, 10
1556, 46, 99
1557, 92, 66
1558, 49, 104
1559, 93, 30
1560, 42, 101
1561, 83, 102
1562, 84, 67
1563, 103, 80
1564, 110, 119
1565, 54, 75
1566, 74, 53
1567, 114, 89
1568, 13, 43
1569, 97, 36
1570, 43, 65
1571, 76, 62
1572, 92, 43
1573, 49, 81
1574, 81, 33
1575, 79, 109
1576, 39, 36
1577, 85, 3
1578, 71, 105
1579, 108, 23
1580, 127, 36
1581, 97, 13
1582, 84, 80
1583, 45, 88
1584, 72, 105
1585, 65, 66
1586, 115, 3
1587, 46, 89
1588, 6, 16
1589, 49, 94
1590, 81, 46
1591, 74, 7
1592, 93, 20
1593, 85, 16
1594, 103, 70
1595, 41, 95
1596, 28, 12
1597, 45, 101
1598, 98, 76
1599, 49, 71
1600, 50, 36
1601, 21, 9
1602, 125, 66
1603, 31, 58
1604, 84, 70
1605, 24, 19
1606, 33, 104
1607, 107, 53
1608, 52, 117
1609, 25, 100
1610, 76, 65
1611, 22, 94
1612, 78, 111
1613, 98, 89
1614, 54, 19
1615, 93, 10
1616, 87, 52
1617, 107, 30
1618, 13, 23
1619, 56, 64
1620, 117, 80
1621, 98, 66
1622, 115, 6
1623, 125, 56
1624, 87, 29
1625, 53, 36
1626, 24, 9
1627, 84, 60
1628, 76, 19
1629, 22, 48
1630, 54, 117
1631, 128, 66
1632, 74, 95
1633, 120, 62
1634, 87, 65
1635, 86, 69
1636, 56, 77
1637, 58, 7
1638, 76, 55
1639, 78, 101
1640, 98, 79
1641, 83, 36
1642, 103, 14
1643, 114, 23
1644, 19, 51
1645, 96, 11
1646, 41, 75
1647, 87, 42
1648, 88, 7
1649, 73, 107
1650, 117, 70
1651, 109, 66
1652, 67, 69
1653, 86, 82
1654, 70, 74
1655, 110, 30
1656, 55, 94
1657, 42, 12
1658, 101, 61
1659, 81, 3
1660, 94, 22
1661, 92, 98
1662, 63, 71
1663, 45, 22
1664, 37, 18
1665, 76, 9
